Unnamed: 0,fluor,symmetry,platform,shape,color,clarity,cut,polish,id,date,price,carat,price_per_carat,z,x,depth_perc,y,inflation,price_per_carat_adjusted
319544,NONE,VG,jamesallen,CUSH,J,IF,VG,EX,14764953,202205,4740.0,1.23,3853.66,6.88,6.11,65.0,3.9715,1.1124125955653823,4286.859923026491
69827,MED,EX,jamesallen,RD,K,VVS1,EX,EX,12644194,202205,53570.0,4.0,13392.5,10.15,10.22,61.0,6.2342005,0.7382817995146538,9887.439
104226,NONE,EX,jamesallen,RD,J,SI1,EX,EX,13443347,202205,49900.0,3.72,13413.98,9.81,9.89,62.0,6.1317997,1.0143927717207502,13607.044352006707
384262,FNT,EX,jamesallen,PR,E,VVS1,G,EX,15024412,202206,3390.0,0.81,4185.19,4.97,4.81,77.4,3.72294,1.0802946627719505,4521.23841968654
2121,NONE,G,jamesallen,RD,G,SI1,VG,G,171261,202205,4150.0,0.93,4462.37,6.25,6.1,63.0,3.843,1.5895404659145684,7093.117688883192
148881,NONE,EX,jamesallen,RD,G,I1,EX,EX,13993253,202205,33570.0,3.01,11152.82,9.23,9.27,61.0,5.6547003,1.194497064565168,13322.010751623697
303049,FNT,VG,jamesallen,PR,E,VS1,EX,EX,14701052,202205,22370.0,2.1,10652.38,6.98,6.8,74.0,5.032,1.2112489157191006,12902.683724827832
383270,NONE,EX,jamesallen,RD,D,FL,EX,EX,15016400,202207,314150.0,4.34,72384.79,10.61,10.64,59.6,6.3414397,1.0,72384.79
377335,NONE,VG,jamesallen,CUSH,I,VS2,VG,EX,14984532,202206,8130.0,1.55,5245.16,6.8,6.16,68.4,4.21344,1.0950138201325457,5743.5226888064235
211739,NONE,VG,jamesallen,RD,E,VS2,VG,VG,14328543,202207,22590.0,1.67,13526.95,7.49,7.51,62.8,4.71628,1.0,13526.95
364705,NONE,EX,jamesallen,RD,G,VVS2,EX,EX,14931539,202207,71210.0,2.71,26276.75,9.09,9.13,60.2,5.49626,1.0,26276.75
314979,FNT,EX,jamesallen,RD,I,SI2,EX,EX,14747742,202205,6950.0,1.49,4664.43,7.23,7.28,62.0,4.5136003,1.7206907739352217,8026.041666666667
321378,NONE,EX,jamesallen,RD,G,VVS1,EX,EX,14772389,202205,80590.0,3.0,26863.33,9.5,9.54,58.0,5.5332003,1.194497064565168,32088.168829445418
415542,NONE,EX,jamesallen,CUSH,H,SI1,VG,EX,15144729,202206,4420.0,1.15,3843.48,6.15,5.51,69.7,3.84047,1.0146596274575976,3899.8239849407273
7699,STG,VG,jamesallen,RD,K,VS1,VG,EX,2852496,202206,5530.0,1.34,4126.87,7.03,6.96,62.9,4.37784,1.2597145352826176,5198.678124221776
1275,NONE,G,jamesallen,PR,E,SI2,G,EX,70375,202206,11480.0,1.61,7130.43,6.49,6.04,74.6,4.50584,1.3512248635426776,9634.814303750614
385093,NONE,EX,jamesallen,RD,G,I1,EX,EX,15029249,202207,9030.0,1.63,5539.88,7.45,7.5,63.1,4.7325,1.0,5539.88
202144,NONE,EX,jamesallen,PR,E,VS2,G,EX,14287418,202207,2840.0,0.82,3463.41,5.1,4.87,77.6,3.77912,1.0,3463.41
368606,NONE,EX,jamesallen,CUSH,F,VS1,G,EX,14948668,202206,20470.0,1.81,11309.39,7.18,6.48,69.0,4.4712,0.9754165210898055,11031.365849447835
154611,NONE,EX,jamesallen,RD,I,VVS1,EX,EX,14036390,202205,17440.0,1.69,10319.53,7.63,7.68,61.0,4.6847997,0.9393474386659042,9693.624073735959
4601,FNT,VG,jamesallen,RD,G,SI2,VG,VG,376018,202206,40720.0,3.08,13220.78,9.14,9.23,63.9,5.89797,1.0,13220.78
38807,STG,EX,jamesallen,RD,L,VS1,EX,EX,10897561,202206,4410.0,1.18,3737.29,6.69,6.73,62.8,4.22644,0.9184732175072754,3432.600771057765
89375,MED,EX,jamesallen,CUSH,G,VS2,EX,EX,13194930,202205,50920.0,4.12,12359.22,9.29,9.18,66.0,6.0588,2.03462394876052,25146.364999999994
22168,MED,G,jamesallen,PR,F,VVS2,VG,EX,7836809,202205,20620.0,2.05,10058.54,7.01,6.81,74.0,5.0394,1.2470001257179528,12543.000644539059
16444,FNT,EX,jamesallen,CUSH,J,VS2,G,EX,6321862,202206,3070.0,0.96,3197.92,5.53,5.45,73.9,4.02755,0.9931373258790346,3175.973717175082
362921,NONE,EX,jamesallen,RD,E,IF,EX,EX,14925065,202206,17400.0,1.13,15398.23,6.69,6.73,61.4,4.1322203,0.7535156958619337,11602.807993492102
160231,NONE,EX,jamesallen,RD,H,VVS1,EX,EX,14073224,202205,7520.0,0.99,7595.96,6.54,6.57,58.0,3.8106,1.0358410942123464,7868.207517993214
1788,NONE,EX,jamesallen,RD,E,SI2,EX,EX,130760,202206,9660.0,1.34,7208.96,7.16,7.13,60.2,4.29226,1.1521848319613284,8306.054366215938
60627,NONE,VG,jamesallen,CUSH,J,SI2,VG,VG,12331324,202206,2460.0,1.12,2196.43,6.09,5.9,67.2,3.9648,1.038812938848438,2281.6799032748745
161568,NONE,EX,jamesallen,RD,K,IF,EX,EX,14079822,202206,3000.0,0.84,3571.43,5.98,6.02,62.6,3.7685199,0.8050109428316385,2875.0402315571987
301580,FNT,EX,jamesallen,CUSH,I,SI1,VG,EX,14697092,202207,14510.0,2.39,6071.13,7.53,7.25,70.1,5.0822496,1.0,6071.13
405011,FNT,EX,jamesallen,RD,E,VVS2,EX,EX,15101714,202207,51560.0,2.28,22614.04,8.38,8.43,62.0,5.2266,1.0,22614.04
7461,NONE,G,jamesallen,CUSH,E,VS1,G,VG,2644615,202205,8770.0,1.3,6746.15,6.31,5.73,69.0,3.9537,1.04143617356919,7025.68464232379
103851,NONE,EX,jamesallen,RD,F,VVS1,VG,EX,13429087,202205,275430.0,5.1,54005.88,10.8,10.87,64.0,6.9568,0.27175689017566235,14676.47
10998,FNT,EX,jamesallen,RD,J,SI2,EX,EX,5144922,202207,6730.0,1.64,4103.66,7.42,7.48,63.1,4.7198796,1.0,4103.66
326837,STG,EX,jamesallen,RD,E,VS1,EX,EX,14785252,202206,71060.0,3.26,21797.55,9.64,9.69,59.7,5.7849298,1.4199290714714181,30950.974931851808
